time_start,time_end,model,launch_place,target,destroyed_details,carrier,launched,destroyed,source
2024-04-02,2024-04-02 08:00,Shahed-136/131,"Chauda, Crimea",Dnipropetrovsk oblast,,,10.0,9,kpszsu/posts/pfbid0LotvTpSDJDNTPMQeM6o6JQrVBdjDqFi9WbprmvNHmnVVdz9hDzqjFUjBCQWjp1zql
2024-04-01 18:00,2024-04-01 18:00,X-59,,"Dnipropetrovsk oblast, Kryvyi Rih Raion",,,1.0,1,pvkshid/posts/pfbid0XGzfUT1N75o61cuu8UESaCEQ1H1EyvK634R6hRzkY4cduoWMTkfx9Da4EroEwqrCl
2024-04-01,2024-04-01,Forpost,Black Sea,south,,,1.0,1,PvKPivden/posts/pfbid021HiL2JZPd1tQhH62smuj1Upk3jPsfmyBXL7wGJDq5EdF3R9XnWxqMALAC9BB9oJWl
2024-03-31,2024-03-31 08:00,X-59,Zaporizhzhia oblast,Ukraine,,,1.0,0,kpszsu/posts/pfbid02FF4w7ocx69Vtf7VZtjQ8BnyWETazNvDhyB6P5QNqYw4t6RKiJrdFx7c2dqCWKeHTl
2024-03-31,2024-03-31 08:00,X-101/X-555,Saratov oblast,Ukraine,,Tu-95MS,14.0,9,kpszsu/posts/pfbid02FF4w7ocx69Vtf7VZtjQ8BnyWETazNvDhyB6P5QNqYw4t6RKiJrdFx7c2dqCWKeHTl
2024-03-31,2024-03-31 08:00,Shahed-136/131,Primorsko-Akhtarsk,south,{'Odesa oblast': 8},,11.0,9,kpszsu/posts/pfbid02FF4w7ocx69Vtf7VZtjQ8BnyWETazNvDhyB6P5QNqYw4t6RKiJrdFx7c2dqCWKeHTl
2024-03-31,2024-03-31 08:00,Iskander-M,Crimea,Ukraine,,,1.0,0,kpszsu/posts/pfbid02FF4w7ocx69Vtf7VZtjQ8BnyWETazNvDhyB6P5QNqYw4t6RKiJrdFx7c2dqCWKeHTl
2024-03-31,2024-03-31,Supercam,,Mykolaiv oblast,,,1.0,1,PvKPivden/posts/pfbid04y7N4Ja5FCAdKqtTtYto13pZuBvJYQKk7JPENrmiFaDJWSK2cUn1YLfcC1vaig1zl
2024-03-30 14:50,2024-03-30 14:50,X-59,,"Dnipropetrovsk oblast, Dnipro Raion",,,1.0,1,pvkshid/posts/pfbid0VPtjkH7D9VsdY7jYA4eNJLFMi7hq82qSwcVfSQJP9r7hekSqv9CVuYZisvN5jHKrl
2024-03-30,2024-03-30 08:00,Shahed-136/131,"Chauda, Crimea",Ukraine,"{'Kherson oblast': 1, 'Odesa oblast': 2, 'Dnipropetrovsk oblast': NaN,     'Poltava oblast': NaN}",,12.0,9,kpszsu/posts/pfbid0e3pdgWEJ6TK2Y9Q4Gjyw8LaK4zDFT6DH2Bsj2g4aLGvNUiSMbefBoERwCnzXAMHNl
2024-03-30,2024-03-30 08:00,C-300/C-400,,Donetsk oblast,,,4.0,0,kpszsu/posts/pfbid0e3pdgWEJ6TK2Y9Q4Gjyw8LaK4zDFT6DH2Bsj2g4aLGvNUiSMbefBoERwCnzXAMHNl
2024-03-30,2024-03-30,X-59,,south,,,1.0,1,PvKPivden/posts/pfbid0oQAFZRXJ49HsDYPD1njUhkKDNTRxvrE5Zvgpze11ojghM3tN55JkRmv65zDAkn2Rl
2024-03-30,2024-03-30,Supercam,,south,,,1.0,1,PvKPivden/posts/pfbid0oQAFZRXJ49HsDYPD1njUhkKDNTRxvrE5Zvgpze11ojghM3tN55JkRmv65zDAkn2Rl
2024-03-30,2024-03-30,Lancet,,south,,,1.0,1,PvKPivden/posts/pfbid0oQAFZRXJ49HsDYPD1njUhkKDNTRxvrE5Zvgpze11ojghM3tN55JkRmv65zDAkn2Rl
2024-03-29 15:00,2024-03-29 15:00,X-59,Black Sea,Odesa oblast,,,2.0,2,PvKPivden/posts/pfbid02V9hBeEp9M4q2Nyfqer4hqGH12fR4PvKPuoM8LEAhrpJcGByiUkwkNGDYYenLrDh7l
2024-03-29,2024-03-29 08:00,X-59,Belgorod oblast,Ukraine,,9 x Su-34,9.0,5,kpszsu/posts/pfbid023hidbwvxbN814zuq2YN9XTejfD3biFYkGpWbZEqkQoorQVDzPZHaieWiFTomvCcul
2024-03-29,2024-03-29 08:00,X-47 Kinzhal,Ryazan oblast,Ukraine,,3 x MIG-31K,3.0,0,kpszsu/posts/pfbid023hidbwvxbN814zuq2YN9XTejfD3biFYkGpWbZEqkQoorQVDzPZHaieWiFTomvCcul
2024-03-29,2024-03-29 08:00,X-101/X-555,Engels-2,Ukraine,,11 x Tu-95MS,21.0,17,kpszsu/posts/pfbid023hidbwvxbN814zuq2YN9XTejfD3biFYkGpWbZEqkQoorQVDzPZHaieWiFTomvCcul
2024-03-29,2024-03-29 08:00,Shahed-136/131,Primorsko-Akhtarsk and Kursk oblast,Ukraine,,,60.0,58,kpszsu/posts/pfbid023hidbwvxbN814zuq2YN9XTejfD3biFYkGpWbZEqkQoorQVDzPZHaieWiFTomvCcul
2024-03-29,2024-03-29 08:00,Iskander-M,Crimea,Ukraine,,,2.0,0,kpszsu/posts/pfbid023hidbwvxbN814zuq2YN9XTejfD3biFYkGpWbZEqkQoorQVDzPZHaieWiFTomvCcul
2024-03-29,2024-03-29 08:00,Iskander-K,Kursk oblast,Ukraine,,,4.0,4,kpszsu/posts/pfbid023hidbwvxbN814zuq2YN9XTejfD3biFYkGpWbZEqkQoorQVDzPZHaieWiFTomvCcul
2024-03-28,2024-03-28 08:00,X-31P,Black Sea,south,,,1.0,0,kpszsu/posts/pfbid0wyB1Xb87sF9FraAFJtppembvHkt4ZytUEpFVri1W1xnf6B865EQoRMmkQW7vmaa8l
2024-03-28,2024-03-28 08:00,X-22,Black Sea,south,,,3.0,0,kpszsu/posts/pfbid0wyB1Xb87sF9FraAFJtppembvHkt4ZytUEpFVri1W1xnf6B865EQoRMmkQW7vmaa8l
2024-03-28,2024-03-28 08:00,Shahed-136/131,"Chauda, Crimea and Kursk oblast",south and east,"{'Kharkiv oblast': NaN, 'Odesa oblast': 2, 'Dnipropetrovsk oblast': NaN,     'Zaporizhzhia oblast': NaN}",,28.0,26,kpszsu/posts/pfbid0wyB1Xb87sF9FraAFJtppembvHkt4ZytUEpFVri1W1xnf6B865EQoRMmkQW7vmaa8l
2024-03-28,2024-03-28 08:00,C-300,,Donetsk oblast,,,1.0,0,kpszsu/posts/pfbid0wyB1Xb87sF9FraAFJtppembvHkt4ZytUEpFVri1W1xnf6B865EQoRMmkQW7vmaa8l
2024-03-27 18:00,2024-03-27 18:00,X-59,,Zaporizhzhia oblast,,,1.0,1,pvkshid/posts/pfbid0Pg7QUsJbEzMpEDebi7HGWCJpgLftengcf6EJBdzmiT5eaS936DnE4jbW6WDh5vSrl
2024-03-27 18:00,2024-03-27 18:00,Supercam,,Dnipropetrovsk oblast,,,1.0,1,pvkshid/posts/pfbid02aKoUihYcpwhjV76h1N3urv1h9PWL8q3jWxyaQeji78vY8rPBsvTQt1zKXx1csCgFl
2024-03-27 16:10,2024-03-27 16:10,X-59,,"Dnipropetrovsk oblast, Dnipro Raion",,,1.0,1,pvkshid/posts/pfbid0LGmUtBDdzmxud8zZ23FDoN8eKarYJkLS6YrsSUzB62HVo7uSrXWhxPxnnzAhuSUyl
2024-03-27,2024-03-27 08:00,Shahed-136/131,Kursk oblast,Kharkiv oblast and Kyiv oblast and Sumy oblast,,,13.0,10,kpszsu/posts/pfbid07ptWYYRMUWBXLjnTEi2hAda4g6NRZLL8tWuHL1FND33acrobfYErBryjRV1TXBTJl
2024-03-26 16:05,2024-03-26 16:05,X-59,,"Dnipropetrovsk oblast, Kryvyi Rih Raion",,,1.0,1,pvkshid/posts/pfbid02GgimjduiBaLHSnpJnAmb36PAr56596HxEoHw2haSBvSBLzevPHPQBCC5ptnoVUb1l
2024-03-26,2024-03-26 08:00,Shahed-136/131,"Chauda, Crimea and Kursk oblast",south and east,"{'Kharkiv oblast': 9, 'Mykolaiv oblast': 3}",,12.0,12,kpszsu/posts/pfbid0k6Guvgya2qdhfb6oQbHrJ4nrk3pojTZSVQ36JC58LFfwNSQw1t1UP6sdYrCCfhZyl
2024-03-26,2024-03-26 08:00,C-300,,Donetsk oblast,,,2.0,2,kpszsu/posts/pfbid0k6Guvgya2qdhfb6oQbHrJ4nrk3pojTZSVQ36JC58LFfwNSQw1t1UP6sdYrCCfhZyl
2024-03-25 20:55,2024-03-25 20:55,Unknown UAV,,"Dnipropetrovsk oblast, Dnipro Raion",,,1.0,1,pvkshid/posts/pfbid0ave6S6vgjFSXbHwg7voXD9sUVSgg3gL7Y47TGgHZ9cLy28p6vaPYeDtj4CNmUgPtl
2024-03-25 10:30,2024-03-25 10:30,3M22 Zircon,Crimea,Kyiv,,,2.0,2,kpszsu/posts/pfbid02bwRmsWLVv1QFbhNgekm8X3PLQvR25FaHz9VCKj1WJLrCMJuFVnatgZZTkhpTth1l
2024-03-25,2024-03-25 08:00,Shahed-136/131,"Chauda, Crimea",Odesa oblast and Mykolaiv oblast,,,9.0,8,kpszsu/posts/pfbid02atnJaxv9qVBm1E8UXFX2pBEpenWvQGjvXBnEw28KYtUwGLcqiaZUAzM56vYur2Cql
2024-03-24,2024-03-24 08:00,X-101/X-555,Engels-2,Ukraine,,14 x Tu-95MS,29.0,18,kpszsu/posts/pfbid02E9itApFzseeXaKMzes3zT2DHaukR6CYLnsEDuAFwXYM1iZ1p4NLLA8C8ztXUPd3Yl
2024-03-24,2024-03-24 08:00,Shahed-136/131,"Primorsko-Akhtarsk and Chauda, Crimea",Ukraine,"{'Dnipropetrovsk oblast': 17, 'Kherson oblast': 1, 'Mykolaiv oblast': 3,     'Odesa oblast': 3, 'Sumy oblast': NaN, 'Kyiv oblast': NaN, 'Volyn oblast': NaN, 'Lviv oblast': NaN}",,28.0,25,kpszsu/posts/pfbid02E9itApFzseeXaKMzes3zT2DHaukR6CYLnsEDuAFwXYM1iZ1p4NLLA8C8ztXUPd3Yl
2024-03-24,2024-03-24,Supercam,,Mykolaiv oblast,,,1.0,1,PvKPivden/posts/pfbid02h8bTpQMVXWnNEvALyhm9m6kLJK1YikUsdxNVseT2W4ike4bBsWMNSt9pPRtuY8Z1l
2024-03-24,2024-03-24,Reconnaissance UAV,,Mykolaiv oblast,,,1.0,1,PvKPivden/posts/pfbid02h8bTpQMVXWnNEvALyhm9m6kLJK1YikUsdxNVseT2W4ike4bBsWMNSt9pPRtuY8Z1l
2024-03-23,2024-03-23 08:00,Shahed-136/131,"Chauda, Crimea and Kursk oblast",Ukraine,"{'Poltava oblast': 2, 'Kherson oblast': 3, 'Dnipropetrovsk oblast': 5,     'Zaporizhzhia oblast': 3, 'Mykolaiv oblast': 1, 'Kharkiv oblast': 2}",,34.0,31,kpszsu/posts/pfbid0Jo2zmM4BzAZfS91x3Eb5Aa6L7AFj61wX5sXaS3xuj8FYLq1kmxDWMKj14MP2zP1Yl
2024-03-23,2024-03-23 08:00,C-300,,Donetsk oblast,,,4.0,0,kpszsu/posts/pfbid0Jo2zmM4BzAZfS91x3Eb5Aa6L7AFj61wX5sXaS3xuj8FYLq1kmxDWMKj14MP2zP1Yl
2024-03-23,2024-03-23,ZALA,,south,,,2.0,2,PvKPivden/posts/pfbid02rMwctKZrMFpQUXBtK15WCD8REomVoeXEVSHoLeQSVS2UMYXJyjx1LKN5UZo2wgMpl
2024-03-22 02:00,2024-03-22 09:00,X-59,Zaporizhzhia oblast,east,,Su-34,2.0,2,kpszsu/posts/pfbid0G2H3qnSqb4ZcDPgrD1by43GSeZ4o41nYaLVPMoD8RivggQia5m7rqUTymoBLcEjGl
2024-03-22 02:00,2024-03-22 09:00,X-47 Kinzhal,Tambov oblast,Ukraine,,10 x MIG-31K,7.0,0,kpszsu/posts/pfbid0G2H3qnSqb4ZcDPgrD1by43GSeZ4o41nYaLVPMoD8RivggQia5m7rqUTymoBLcEjGl
2024-03-22 02:00,2024-03-22 09:00,X-22,Rostov oblast,Ukraine,,Tu-22M3,5.0,0,kpszsu/posts/pfbid0G2H3qnSqb4ZcDPgrD1by43GSeZ4o41nYaLVPMoD8RivggQia5m7rqUTymoBLcEjGl
2024-03-22 02:00,2024-03-22 09:00,X-101/X-555,Caspian Sea,Ukraine,,13 x Tu-95MS,40.0,35,kpszsu/posts/pfbid0G2H3qnSqb4ZcDPgrD1by43GSeZ4o41nYaLVPMoD8RivggQia5m7rqUTymoBLcEjGl
2024-03-22 02:00,2024-03-22 09:00,Shahed-136/131,Primorsko-Akhtarsk,Ukraine,"{'Odesa oblast': 14, 'Kherson oblast': 5, 'Dnipropetrovsk oblast': 1,     'Mykolaiv oblast': 1, 'east': 9}",,63.0,55,kpszsu/posts/pfbid0G2H3qnSqb4ZcDPgrD1by43GSeZ4o41nYaLVPMoD8RivggQia5m7rqUTymoBLcEjGl
2024-03-22 02:00,2024-03-22 09:00,Iskander-M,Belgorod oblast and Crimea,Ukraine,,,12.0,0,kpszsu/posts/pfbid0G2H3qnSqb4ZcDPgrD1by43GSeZ4o41nYaLVPMoD8RivggQia5m7rqUTymoBLcEjGl
2024-03-22 02:00,2024-03-22 09:00,C-300/C-400,Belgorod oblast and Kursk oblast,Ukraine,,,22.0,0,kpszsu/posts/pfbid0G2H3qnSqb4ZcDPgrD1by43GSeZ4o41nYaLVPMoD8RivggQia5m7rqUTymoBLcEjGl
2024-03-21 03:00,2024-03-21 07:00,X-101/X-555,Volgodonsk and Engels-2,Kyiv oblast,,11 x Tu-95MS,29.0,29,kpszsu/posts/pfbid024ZjSa6LyBpqHEUKgGXtEMfAnpthNWQ8BDB8e7cFkD2tk4fPqfUB7zDSaoDg1VGfSl
2024-03-21 03:00,2024-03-21 07:00,Iskander-M/KN-23 and X-47 Kinzhal,,Kyiv oblast,,,2.0,2,kpszsu/posts/pfbid024ZjSa6LyBpqHEUKgGXtEMfAnpthNWQ8BDB8e7cFkD2tk4fPqfUB7zDSaoDg1VGfSl
2024-03-21,2024-03-21,Supercam,,Odesa oblast,,,1.0,1,PvKPivden/posts/pfbid02ARvTSdz2u6rpdXCqdfjLW6NLhPpVbkM6uELaFibxf4R3YqwYEaQ4tnY7y95KzHHXl
2024-03-21,2024-03-21,Lancet,,Odesa oblast,,,2.0,2,PvKPivden/posts/pfbid02ARvTSdz2u6rpdXCqdfjLW6NLhPpVbkM6uELaFibxf4R3YqwYEaQ4tnY7y95KzHHXl
2024-03-20,2024-03-20,Supercam,,Odesa oblast,,,2.0,2,PvKPivden/posts/pfbid02x7o6whbPBPN5pkJoVhwNzm8kKAgGottXjau67dWHR5oFZuv33bpzfgShrFH1JTfLl
2024-03-19,2024-03-19 08:00,ZALA,,Odesa oblast,,,3.0,3,PvKPivden/posts/pfbid02YdqSYzeueEu3uz4VwXaBwHEqGzdcE9oyBd9nvs3RvXWa1QtRShEjU4s64ar8UTVjl
2024-03-18,2024-03-18 08:00,X-59,,Sumy oblast,,,2.0,0,kpszsu/posts/pfbid0J2aqMT3K6v9zqzLrzTJSNGyKek2zN9YPDRvLktMsgtVS3vWoQh4F6AM73ruYujyQl
2024-03-18,2024-03-18 08:00,Shahed-136/131,Primorsko-Akhtarsk,Ukraine,"{'Kyiv oblast': NaN, 'Poltava oblast': NaN, 'Khmelnytskyi oblast': NaN,     'Cherkasy oblast': NaN, 'Kirovohrad oblast': NaN, 'Dnipropetrovsk oblast': 2, 'Zaporizhzhia oblast': NaN,     'Vinnytsia oblast': NaN, 'Rivne oblast': NaN}",,22.0,17,kpszsu/posts/pfbid0J2aqMT3K6v9zqzLrzTJSNGyKek2zN9YPDRvLktMsgtVS3vWoQh4F6AM73ruYujyQl
2024-03-18,2024-03-18 08:00,C-300/C-400,,Kharkiv oblast,,,5.0,0,kpszsu/posts/pfbid0J2aqMT3K6v9zqzLrzTJSNGyKek2zN9YPDRvLktMsgtVS3vWoQh4F6AM73ruYujyQl
2024-03-17,2024-03-17 08:00,X-59,,Chernihiv oblast,,,2.0,0,kpszsu/posts/pfbid0zGd1nPxSY8jZY3EB1wUug29nYn1VZtGYRS51htWwKnYFCVihbNB6dfwpqRviuqkol
2024-03-17,2024-03-17 08:00,Shahed-136/131,"Chauda, Crimea",Odesa oblast,,,17.0,14,kpszsu/posts/pfbid0zGd1nPxSY8jZY3EB1wUug29nYn1VZtGYRS51htWwKnYFCVihbNB6dfwpqRviuqkol
2024-03-17,2024-03-17 08:00,C-300,,Kharkiv oblast and Donetsk oblast,,,5.0,0,kpszsu/posts/pfbid0zGd1nPxSY8jZY3EB1wUug29nYn1VZtGYRS51htWwKnYFCVihbNB6dfwpqRviuqkol
2024-03-16,2024-03-16 08:00,Shahed-136/131,,Kharkiv oblast,,,2.0,2,kpszsu/posts/pfbid0gdDMXCLQnfX6JrCdi5ZL1k86LA54zSqpZv6oRVeeRzwbwcQEJLHuu2KyS3cWdg7Kl
2024-03-15,2024-03-15 08:00,X-59,,Poltava oblast,,,1.0,0,kpszsu/posts/pfbid02h7c8iCPT3zaNoWLnWRoDtEucwtpHe4aL5sBhqPrYTWTLT1zb6zuRikiWudw7NwxZl
2024-03-15,2024-03-15 08:00,Shahed-136/131,Primorsko-Akhtarsk and Kursk oblast,Ukraine,"{'Kharkiv oblast': NaN, 'Kherson oblast': 1, 'Mykolaiv oblast': 1,     'Kirovohrad oblast': 1, 'Kyiv oblast': NaN, 'Khmelnytskyi oblast': NaN, 'Vinnytsia oblast': NaN}",,27.0,27,kpszsu/posts/pfbid02h7c8iCPT3zaNoWLnWRoDtEucwtpHe4aL5sBhqPrYTWTLT1zb6zuRikiWudw7NwxZl
2024-03-15,2024-03-15 08:00,C-300,,Kharkiv oblast and Donetsk oblast,,,7.0,0,kpszsu/posts/pfbid02h7c8iCPT3zaNoWLnWRoDtEucwtpHe4aL5sBhqPrYTWTLT1zb6zuRikiWudw7NwxZl
2024-03-14,2024-03-14 08:00,Shahed-136/131,,east,"{'Kharkiv oblast': 9, 'Dnipropetrovsk oblast': 3, 'Zaporizhzhia oblast': 1}",,13.0,13,pvkshid/posts/pfbid031tDJWPaw3GbJa6qHJthDsTUDDxUMMqTPQ5vPrAbW2Wx91Qx5mezUgwtzTjVeRGGWl
2024-03-14,2024-03-14 08:00,Shahed-136/131,,south,"{'Mykolaiv oblast': 2, 'Dnipropetrovsk oblast': 1}",,3.0,3,PvKPivden/posts/pfbid02Crgzxm5d1cevA21ouNUPz6s8trpHXGV92WCLriWJZ7zy4G8XPxYtTY2xZqd5WYqal
2024-03-13 12:00,2024-03-13 12:00,KAB,,Odesa oblast,,,1.0,1,PvKPivden/posts/pfbid023hVShH8XuLK4nEJMfhjCw84zyKFbaTjL8PGMxS6iGqc3xMcLMyKHXYNXCv75xWsil
2024-03-12,2024-03-12 08:00,X-59,,Odesa oblast,,,1.0,1,PvKPivden/posts/pfbid0cfm5dyoKF9Q3WMEGnGbXcsMsdr2tyA1qLfFSxerXz6MANcDoyW7yAhuswfV5hNkwl
2024-03-12,2024-03-12 08:00,Shahed-136/131,,south,"{'Dnipropetrovsk oblast': 2, 'Kherson oblast': 2, 'Mykolaiv oblast': 4}",,8.0,8,PvKPivden/posts/pfbid0cfm5dyoKF9Q3WMEGnGbXcsMsdr2tyA1qLfFSxerXz6MANcDoyW7yAhuswfV5hNkwl
2024-03-11,2024-03-11 08:00,Shahed-136/131,,Odesa oblast,,,10.0,10,PvKPivden/posts/pfbid02faP1DgDBDST7ipc5PiEtqq55QMSeKL73qVWXKAXvaESj7NwFpfesNwfaVzVUza3ml
2024-03-11,2024-03-11 08:00,Shahed-136/131,,Kharkiv oblast,,,5.0,5,pvkshid/posts/pfbid0p1XtGeZtpFFQXoLrULD1rsvGm6rGQ8TqYLujRRdLEfDTp6dtubBHA8XHM2PJVzVBl
2024-03-11,2024-03-11,Lancet,,Kherson oblast,,,2.0,2,PvKPivden/posts/pfbid0cfm5dyoKF9Q3WMEGnGbXcsMsdr2tyA1qLfFSxerXz6MANcDoyW7yAhuswfV5hNkwl
2024-03-10,2024-03-10 08:00,Shahed-136/131,"Primorsko-Akhtarsk and Chauda, Crimea",Ukraine,"{'Dnipropetrovsk oblast': 1, 'Kherson oblast': 2, 'Odesa oblast': 11,     'Mykolaiv oblast': 6, 'Kirovohrad oblast': NaN, 'Cherkasy oblast': NaN, 'Kyiv oblast': NaN,     'Zhytomyr oblast': NaN, 'Khmelnytskyi oblast': NaN, 'Vinnytsia oblast': NaN}",,39.0,35,kpszsu/posts/pfbid0SNGg1Uj2cfUDFU94Vzgd2F4gahafpdUwvCjRgwKSe8qygLQYcpgTyqniBgXz5Mqjl
2024-03-10,2024-03-10 08:00,C-300,,Kharkiv oblast and Donetsk oblast,,,4.0,0,kpszsu/posts/pfbid0SNGg1Uj2cfUDFU94Vzgd2F4gahafpdUwvCjRgwKSe8qygLQYcpgTyqniBgXz5Mqjl
2024-03-10,2024-03-10,Lancet,,Kherson oblast,,,3.0,3,PvKPivden/posts/pfbid02faP1DgDBDST7ipc5PiEtqq55QMSeKL73qVWXKAXvaESj7NwFpfesNwfaVzVUza3ml
2024-03-09,2024-03-09 08:00,Shahed-136/131,"Primorsko-Akhtarsk and Chauda, Crimea",Ukraine,"{'Dnipropetrovsk oblast': 4, 'Donetsk oblast': NaN, 'Poltava oblast': NaN}",,15.0,12,kpszsu/posts/pfbid0Td7aLf8hqcg8hKziMFR9xsc7Tika4pDXViEqH1k4czb6zPN8H95jiPBHAVUcgaN1l
2024-03-08,2024-03-08 08:00,X-59,,Ukraine,,,2.0,0,kpszsu/posts/pfbid02JqD9gi6cAsb161qgB5bUoYMzkvbvxt7dKLqNzSLSP7RQq5mw6UdV4pv3F7w1Y5irl
2024-03-08,2024-03-08 08:00,Shahed-136/131,"Balaklava, Crimea",Ukraine,"{'Kherson oblast': 2, 'Odesa oblast': 18, 'Mykolaiv oblast': 2,     'Kirovohrad oblast': NaN, 'Kharkiv oblast': NaN}",,37.0,33,kpszsu/posts/pfbid02JqD9gi6cAsb161qgB5bUoYMzkvbvxt7dKLqNzSLSP7RQq5mw6UdV4pv3F7w1Y5irl
2024-03-08,2024-03-08 08:00,C-300,,Ukraine,,,1.0,0,kpszsu/posts/pfbid02JqD9gi6cAsb161qgB5bUoYMzkvbvxt7dKLqNzSLSP7RQq5mw6UdV4pv3F7w1Y5irl
2024-03-08,2024-03-08,Lancet,,Kherson oblast,,,1.0,1,PvKPivden/posts/pfbid0U7WTsMN7DW25aeh4GDRvog4CZ1Hx8BjSjVJKAZGLewnFN8WkuLcX4Un4KzGZoz1jl
2024-03-06 15:00,2024-03-06 15:00,Orlan-10,,Kharkiv oblast,,,1.0,1,pvkshid/posts/pfbid026kdKZMqGqkSunadXkNXsPzB8LY1f4rie1BwqVdpBUfCenrth1s9AyK85pdqNnAU1l
2024-03-06,2024-03-06 08:00,Shahed-136/131,"Primorsko-Akhtarsk and Chauda, Crimea and Balaklava, Crimea and Kursk oblast",Ukraine,"{'Dnipropetrovsk oblast': NaN, 'Kherson oblast': 2, 'Odesa oblast': 18,     'Khmelnytskyi oblast': NaN, 'Cherkasy oblast': NaN, 'Kharkiv oblast': NaN,      'Vinnytsia oblast': NaN, 'Sumy oblast': NaN}",,42.0,38,kpszsu/posts/pfbid02avJN4bdieGY9tnAEiqU98GKYDTzKSPVTMEdG29u86vARmh4VNTG4SKe7v9fEHZktl
2024-03-05 16:00,2024-03-05 16:00,X-59,,"Dnipropetrovsk oblast, Kryvyi Rih Raion",,,1.0,1,pvkshid/posts/pfbid024242rcgKAfNCrm4wjix7CdJppjAYVYKcMC172QTUZjQDYemahXcWqT4pkYtsJBHWl
2024-03-05,2024-03-05,Shahed-136/131,"Balaklava, Crimea",Odesa oblast,,,22.0,18,kpszsu/posts/pfbid0rgcCwKXxYdDrpN7Vxxokbpuy7sZTWug4SyipX3outNTizdjWsk2ECSub1eC4D3EQl
2024-03-04 16:00,2024-03-04 16:00,X-59,,"Dnipropetrovsk oblast, Dnipro Raion",,,1.0,1,pvkshid/posts/pfbid0UbTsFpjoqoXfses7QXvptaCmMi5FtBdxeSWN3LESrL1TcDTFYsxVYwYfE2BSZsXXl
2024-03-03 20:00,2024-03-03 20:00,X-59,,"Dnipropetrovsk oblast, Kryvyi Rih Raion",,,1.0,1,pvkshid/posts/pfbid0H38cAcY3fn2BjEzNNnKFpbqP8yzXdGTx1yAUEf12y3BVvyvXBU7Qrw4CZvZ5CxH1l
2024-03-02,2024-03-02 08:00,ZALA,,south,,,1.0,1,PvKPivden/posts/pfbid02UsWqKTE7XBUGA7QSYMSZtckftTcCveftFSEVZ9KYoqoh1VqgZtVtfRC7o9nz3ArGl
2024-03-02,2024-03-02 08:00,X-59 and X-35,Kherson oblast and Donetsk oblast,east,,,3.0,0,kpszsu/posts/pfbid0g2awuUvwYUVKzCo31dY59wcrxM2GrUJFXhV9N7H7pRVXufGCpkKqhNxdJyZ9B377l
2024-03-02,2024-03-02 08:00,Shahed-136/131,"Primorsko-Akhtarsk and Balaklava, Crimea",east,"{'Dnipropetrovsk oblast': 1, 'Kharkiv oblast': 2, 'Sumy oblast': 1,     'Zaporizhzhia oblast': 2, 'Odesa oblast and Mykolaiv oblast': 7}",,17.0,14,kpszsu/posts/pfbid0g2awuUvwYUVKzCo31dY59wcrxM2GrUJFXhV9N7H7pRVXufGCpkKqhNxdJyZ9B377l
2024-03-01 16:00,2024-03-01 16:00,X-59,,"Dnipropetrovsk oblast, Kryvyi Rih Raion",,,1.0,1,pvkshid/posts/pfbid02Z7ZjLq1FJDZXoRjviWpRGsxBRVMexcDWgry3mv2NbXQjQFEfKj7D5GcSwEL1TgWxl
2024-03-01,2024-03-01 08:00,Unknown UAV,,Dnipropetrovsk oblast,,,1.0,1,pvkshid/posts/pfbid07XqWbNSE4bB8ikHhzXmfJ7Zh6acvxvQiXQoLhriyWcBghLvzrZWxrG8zCmaSeY5ql
2024-03-01,2024-03-01 08:00,Shahed-136/131,Primorsko-Akhtarsk and Kursk oblast,east,"{'Dnipropetrovsk oblast': 3, 'Kharkiv oblast': 1}",,4.0,4,kpszsu/posts/pfbid02beTDDR87xNkty1QSDTQGFUZGeyfidfbtmiEdTGpqwPVXT8RYddoSdNK27N8nuL4Zl
2024-03-01,2024-03-01 08:00,C-300,Belgorod oblast and Donetsk oblast,east,,,5.0,0,kpszsu/posts/pfbid02beTDDR87xNkty1QSDTQGFUZGeyfidfbtmiEdTGpqwPVXT8RYddoSdNK27N8nuL4Zl
2024-02-29,2024-02-29,Lancet,,Kherson oblast,,,2.0,2,PvKPivden/posts/pfbid0KzUpcRWw5iTpNXHBPkT6UWQ3nURyuvmnyFFpVA7GazxvpDyAG7QDpXs3BqoRpfvol
2024-02-28,2024-02-28 08:00,Shahed-136/131,Primorsko-Akhtarsk,Ukraine,"{'Odesa oblast': 9, 'Mykolaiv oblast': 1}",,10.0,10,kpszsu/posts/pfbid02VCqru9cieHHEsQBfdaPNRJTD8wBZf6W6MtfoCP4k1w9d9XuYGWqsvJ8ggRk6zVBkl
2024-02-28,2024-02-28 08:00,C-300,Donetsk oblast,Ukraine,,,,0,kpszsu/posts/pfbid02VCqru9cieHHEsQBfdaPNRJTD8wBZf6W6MtfoCP4k1w9d9XuYGWqsvJ8ggRk6zVBkl
2024-02-28,2024-02-28,Supercam,,Mykolaiv oblast,,,1.0,1,PvKPivden/posts/pfbid0qw92Y1fxBGGLVn7wejhRaPZUEiMeWxJpnRft6E3fMNQq6n65RiydVXa3FD3PC1qvl
2024-02-28,2024-02-28,Lancet,,Kherson oblast,,,1.0,1,PvKPivden/posts/pfbid0qw92Y1fxBGGLVn7wejhRaPZUEiMeWxJpnRft6E3fMNQq6n65RiydVXa3FD3PC1qvl
