time_start,time_end,model,launch_place,target,destroyed_details,carrier,launched,destroyed,source
2024-06-06,2024-06-06 08:00,Shahed-136/131,"Primorsko-Akhtarsk and Chauda, Crimea",Ukraine,"{'Kherson oblast': 5, 'Mykolaiv oblast': 8, 'Khmelnytskyi oblast': NaN,     'Kharkiv oblast and Zaporizhzhia oblast': 3}",,18.0,17,kpszsu/posts/pfbid0DjCB9otVuH2igDfQk9FwuqDMbsxdkEVnDkcPAUbhNo2xWDL9y1LMACgY44BZZ1RJl
2024-06-06,2024-06-06 08:00,Orlan-10,,Kharkiv oblast,,,1.0,1,pvkshid/posts/pfbid032sGUCNn8Cq1vBfkQ2HBEXTUjUq9SC8XzvGJcU94pnm6uQ9dELdWySrDnewfamurYl
2024-06-06,2024-06-06 08:00,Iskander-M,Taganrog,Dnipropetrovsk oblast,,,2.0,0,kpszsu/posts/pfbid0DjCB9otVuH2igDfQk9FwuqDMbsxdkEVnDkcPAUbhNo2xWDL9y1LMACgY44BZZ1RJl
2024-06-06,2024-06-06,ZALA,,Odesa oblast,,,1.0,1,PvKPivden/posts/pfbid0716VD7cdcEqoUmJJhjh9vtSVPTH4TkWAGHF8a6fWc86DUjYMwFyS87myNBcv13PLl
2024-06-05 17:00,2024-06-05 17:00,Iskander-M,Crimea,Odesa oblast,,,1.0,0,PvKPivden/posts/pfbid02pyYfL65jMjhSP44t5yZwy18tMLKS2KqtPmYPN55iaQA29bATFsyY3Uv5eQ5KuJVl
2024-06-05,2024-06-05 08:00,ZALA,,Mykolaiv oblast,,,1.0,1,PvKPivden/posts/pfbid0d5eEPRDjfjPhcH2PYrhjA55wp48UySJ2bsCUcbho5tTtp5hUqZJLHx1sLr3qdT4l
2024-06-05,2024-06-05 08:00,Shahed-136/131,"Chauda, Crimea and Kursk oblast",Ukraine,"{'Kherson oblast': 4, 'Mykolaiv oblast': 6, 'Kharkiv oblast': 1, 'Sumy oblast': 1,     'Dnipropetrovsk oblast': 3, 'Poltava oblast': 6}",,27.0,22,kpszsu/posts/pfbid02zEhZYn8mbQD9vPETTMfmH4a3BtXGuDeSoKC1k1DPjdj47rj57xMUu3xt42pyb8hZl
2024-06-05,2024-06-05,ZALA,,Kherson oblast,,,2.0,2,PvKPivden/posts/pfbid02pyYfL65jMjhSP44t5yZwy18tMLKS2KqtPmYPN55iaQA29bATFsyY3Uv5eQ5KuJVl
2024-06-04,2024-06-04 08:00,Unknown UAV,north,Chernihiv oblast,,,4.0,4,kpszsu/posts/pfbid02YHM7XyED78ccgXBBEw6HWRqgN28FwiFBgeG4evp84K9nvuEdg4cNtxBYKRkQ1tUUl
2024-06-04,2024-06-04 08:00,Orlan-10,,Kherson oblast,,,1.0,1,PvKPivden/posts/pfbid0a1bxREyUnRF4NgwVZ4wVhaiWDLz4Kjb7Qsxq4mA2syEK1T9RQDj9tZo29J8DP8RUl
