year_month,channel,launched,coverage,fatalities,war_images,war_share_out_of_total
2022-12-01,a3,364.0,0.0914221218961625,2174,0.1789344009855251,0.0206908831908831
2022-12-01,la6,364.0,0.0599078341013824,2174,0.2083057212281864,0.0130537098560354
2022-12-01,t5,364.0,0.0581395348837209,2174,0.1968417186926184,0.011541774332472
2023-01-01,a3,213.0,0.1472569778633301,1187,0.2546965317919075,0.0219626168224299
2023-01-01,la6,213.0,0.0798722044728434,1187,0.3177973129872284,0.0255058572949946
2023-01-01,t5,213.0,0.0798611111111111,1187,0.2939205361416946,0.0236882716049382
2023-02-01,a3,193.0,0.1957219251336898,665,0.2108369098712446,0.0357923497267759
2023-02-01,la6,193.0,0.1009251471825063,665,0.2154358689616879,0.0217549761704513
2023-02-01,t5,193.0,0.1375722543352601,665,0.1997770966843131,0.0276300578034682
2023-03-01,a3,181.0,0.1119766309639727,866,0.281767955801105,0.0274193548387096
2023-03-01,la6,181.0,0.0763993948562783,866,0.2540282801709964,0.0194780635400907
2023-03-01,t5,181.0,0.088,866,0.2718300793821068,0.0241333333333333
2023-04-01,a3,117.0,0.0910973084886128,1135,0.2186459489456159,0.0218888888888888
2023-04-01,la6,117.0,0.0613287904599659,1135,0.2517672648178358,0.0146565368787591
2023-04-01,t5,117.0,0.0656136087484811,1135,0.2861077111383109,0.0189347914135277
2023-05-01,a3,667.0,0.1041420118343195,1434,0.2129105322763307,0.0222485207100591
2023-05-01,la6,667.0,0.0417827298050139,1434,0.2059690493736182,0.0086505725781491
2023-05-01,t5,667.0,0.0627177700348432,1434,0.2497707123203913,0.0158149438637243
2023-06-01,a3,447.0,0.0921908893709327,1243,0.2123176661264181,0.019603441825664
2023-06-01,la6,447.0,0.0462287104622871,1243,0.1958702064896755,0.0089753987564206
2023-06-01,t5,447.0,0.0615763546798029,1243,0.1757515692104393,0.010919540229885
2023-07-01,a3,433.0,0.0676779463243874,939,0.2152255639097744,0.0138619854721549
2023-07-01,la6,433.0,0.0692307692307692,939,0.1888178913738019,0.0133649932157394
2023-07-01,t5,433.0,0.0597826086956521,939,0.2195,0.0132548309178743
2023-08-01,a3,324.0,0.0507662835249042,784,0.2167648984937786,0.0108809993425378
2023-08-01,la6,324.0,0.0344611528822055,784,0.2336,0.0079004329004329
2023-08-01,t5,324.0,0.0417246175243393,784,0.2757292239955971,0.0116133518776077
2023-09-01,a3,621.0,0.0600226500566251,803,0.1614057923852912,0.0096460521197977
2023-09-01,la6,621.0,0.0411764705882352,803,0.1511864406779661,0.0062464985994397
2023-09-01,t5,621.0,0.0395256916996047,803,0.263621353880022,0.010518225735617
2023-10-01,a3,347.0,0.0306603773584905,746,0.1888667992047713,0.0058425584255842
2023-10-01,la6,347.0,0.0193929173693086,746,0.1598455598455598,0.0030157342657342
2023-10-01,t5,347.0,0.0289687137891077,746,0.2198019801980198,0.0064310544611819
2023-11-01,a3,432.0,0.0194075587334014,792,0.1106271777003484,0.0021620701395982
2023-11-01,la6,432.0,0.0236686390532544,792,0.1107660455486542,0.0026380670611439
2023-11-01,t5,432.0,0.0126262626262626,792,0.1795716639209225,0.002293771043771
2023-12-01,a3,840.0,0.0467479674796747,615,0.1692529772645254,0.0079437669376693
2023-12-01,la6,840.0,0.0305980528511821,615,0.1889140271493212,0.0058066759388038
2023-12-01,t5,840.0,0.0252100840336134,615,0.2208029197080292,0.0056489262371615
2024-01-01,a3,677.0,0.0365853658536585,677,0.2157836644591611,0.0079471544715447
2024-01-01,la6,677.0,0.0201850294365012,677,0.1990358126721763,0.0040510232688533
2024-01-01,t5,677.0,0.0134615384615384,677,0.2047058823529411,0.0027884615384615
2024-02-01,a3,523.0,0.0728155339805825,923,0.1353566681435533,0.0098867313915857
2024-02-01,la6,523.0,0.0345887778631821,923,0.1716500553709856,0.005956956187548
2024-02-01,t5,523.0,0.080503144654088,923,0.174463685706901,0.0141509433962264
2024-03-01,a3,849.0,0.093841642228739,584,0.1481962107448741,0.0139540566959921
2024-03-01,la6,849.0,0.0549954170485792,584,0.1642204375519246,0.0090589673082798
2024-03-01,t5,849.0,0.071656050955414,584,0.1583394562821455,0.0114384288747346
2024-04-01,a3,505.0,0.0272727272727272,731,0.1913385826771653,0.0052597402597402
2024-04-01,la6,505.0,0.028004667444574,731,0.3183701657458563,0.0089653831194087
2024-04-01,t5,505.0,0.0191740412979351,731,0.2534854245880862,0.0049164208456243
